iter	Passed	Remaining
0	137	137029
1	137	68815
2	138	46181
3	139	34842
4	140	27977
5	141	23405
6	141	20131
7	142	17672
8	143	15760
9	143	14221
10	144	12962
11	144	11913
12	145	11027
13	145	10266
14	146	9616
15	147	9044
16	147	8535
17	148	8083
18	148	7677
19	149	7315
20	149	6982
21	150	6679
22	150	6401
23	151	6147
24	151	5914
25	152	5697
26	152	5497
27	152	5310
28	153	5138
29	153	4978
30	154	4829
31	154	4687
32	155	4554
33	155	4428
34	156	4312
35	156	4201
36	157	4098
37	157	3999
38	158	3905
39	158	3815
40	159	3730
41	160	3651
42	160	3575
43	161	3502
44	161	3433
45	162	3365
46	162	3300
47	163	3237
48	163	3177
49	164	3119
50	164	3064
51	165	3010
52	165	2959
53	166	2909
54	166	2862
55	167	2817
56	167	2773
57	168	2731
58	168	2690
59	169	2649
60	169	2611
61	170	2575
62	170	2538
63	171	2504
64	171	2471
65	172	2439
66	172	2406
67	173	2375
68	174	2348
69	174	2319
70	175	2291
71	175	2264
72	176	2236
73	176	2210
74	177	2184
75	177	2158
76	177	2133
77	178	2109
78	178	2085
79	179	2063
80	179	2041
81	180	2021
82	180	1997
83	181	1977
84	181	1958
85	182	1938
86	182	1918
87	183	1899
88	183	1882
89	184	1864
90	185	1848
91	185	1831
92	186	1814
93	186	1798
94	187	1783
95	187	1768
96	188	1754
97	189	1740
98	189	1727
99	190	1713
100	191	1700
101	191	1687
102	192	1675
103	192	1662
104	193	1649
105	193	1636
106	194	1623
107	194	1610
108	195	1598
109	196	1586
110	196	1574
111	197	1562
112	197	1550
113	198	1539
114	198	1529
115	199	1519
116	199	1508
117	200	1498
118	201	1488
119	201	1478
120	202	1468
121	202	1459
122	203	1449
123	203	1440
124	204	1431
125	205	1422
126	205	1411
127	205	1402
128	206	1393
129	207	1385
130	207	1376
131	208	1368
132	208	1360
133	209	1351
134	209	1344
135	210	1336
136	210	1329
137	211	1321
138	212	1313
139	212	1305
140	213	1298
141	213	1289
142	214	1283
143	214	1276
144	215	1268
145	215	1261
146	216	1254
147	216	1248
148	217	1241
149	217	1234
150	218	1227
151	218	1221
152	219	1214
153	219	1207
154	220	1201
155	220	1195
156	221	1189
157	221	1182
158	222	1176
159	222	1170
160	223	1163
161	223	1157
162	224	1151
163	224	1145
164	225	1139
165	225	1134
166	226	1128
167	226	1123
168	227	1117
169	227	1112
170	228	1107
171	228	1101
172	229	1096
173	229	1091
174	230	1086
175	231	1082
176	231	1077
177	232	1072
178	232	1067
179	233	1062
180	233	1057
181	234	1052
182	234	1048
183	235	1043
184	235	1038
185	236	1034
186	236	1029
187	237	1024
188	237	1020
189	238	1016
190	238	1012
191	239	1007
192	240	1003
193	240	999
194	241	995
195	241	991
196	242	987
197	242	983
198	243	979
199	243	974
200	244	971
201	244	967
202	245	963
203	246	959
204	246	955
205	247	952
206	247	948
207	247	944
208	248	940
209	248	936
210	249	932
211	249	929
212	250	925
213	250	921
214	251	918
215	251	914
216	252	910
217	252	907
218	253	903
219	253	900
220	254	896
221	254	893
222	255	889
223	255	886
224	256	882
225	256	879
226	257	876
227	257	872
228	258	869
229	258	866
230	259	863
231	259	860
232	260	857
233	261	854
234	261	851
235	262	849
236	262	846
237	263	843
238	263	840
239	264	837
240	265	835
241	265	832
242	266	829
243	266	826
244	267	823
245	267	820
246	268	817
247	268	815
248	269	812
249	269	809
250	270	806
251	270	803
252	271	800
253	271	798
254	272	795
255	272	793
256	273	790
257	274	788
258	274	785
259	275	782
260	275	780
261	276	778
262	276	775
263	277	773
264	277	770
265	278	768
266	278	765
267	279	763
268	279	760
269	280	758
270	280	755
271	281	753
272	281	750
273	282	748
274	282	745
275	283	743
276	283	741
